	Bergen	Hammerfest	Kirkenes	Kristiansand	Lillehammer	Oslo	Stavanger	Tromsø	Trondheim	Ålesund	Vinje	Flåm	Sogndal	Vang
Bergen	0	2196	2258	439	440	496	207	1808	662	432	274	167	219	278
Hammerfest	2170	0	480	2191	1813	1870	2404	377	1537	1834	2100	2034	1951	1918
Kirkenes	2232	480	0	2222	1844	1901	2435	806	1598	1895	2131	2095	2012	1980
Kristiansand	439	2193	2224	0	503	321	231	1962	816	820	266	487	584	521
Lillehammer	440	1827	1848	505	0	184	546	1484	338	381	363	277	279	162
Oslo	497	1873	1904	322	182	0	536	1641	496	563	231	334	335	237
Stavanger	207	2407	2437	231	546	534	0	1975	830	638	250	343	395	454
Tromsø	1782	378	806	1962	1484	1641	1962	0	1148	1445	1820	1645	1562	1530
Trondheim	636	1537	1599	817	339	496	816	1148	0	300	674	500	417	384
Ålesund	432	1834	1896	820	381	563	638	1445	300	0	601	347	275	355
Vinje	275	2103	2134	244	363	230	279	1821	675	601	0	275	327	348
Flåm	167	2033	2095	517	277	333	348	1645	499	347	275	0	72	115
Sogndal	219	1951	2012	585	279	334	400	1562	417	275	327	72	0	117
Vang	278	1918	1980	521	162	237	459	1529	384	355	347	115	117	0
